MessageId,LatencyMs,SentTimestamp,ReceivedTimestamp,,,
581,1.474,6.39E+17,6.39E+17,,,
582,0,6.39E+17,6.39E+17,,,
583,0,6.39E+17,6.39E+17,,,
584,0,6.39E+17,6.39E+17,,,
585,0,6.39E+17,6.39E+17,,,
586,1.319,6.39E+17,6.39E+17,,,
587,0,6.39E+17,6.39E+17,,,
588,0,6.39E+17,6.39E+17,,,
589,1.574,6.39E+17,6.39E+17,,,
590,0,6.39E+17,6.39E+17,,,
591,0,6.39E+17,6.39E+17,,,
592,0,6.39E+17,6.39E+17,,,
593,0,6.39E+17,6.39E+17,,,
594,1.381,6.39E+17,6.39E+17,,,
595,1.342,6.39E+17,6.39E+17,,,
596,0,6.39E+17,6.39E+17,,,
597,0,6.39E+17,6.39E+17,,,
598,0,6.39E+17,6.39E+17,,,
599,1.406,6.39E+17,6.39E+17,,,
600,0,6.39E+17,6.39E+17,,,
601,1.01,6.39E+17,6.39E+17,,,
602,0,6.39E+17,6.39E+17,,,
603,0,6.39E+17,6.39E+17,,,
604,0,6.39E+17,6.39E+17,,,
605,1.456,6.39E+17,6.39E+17,,,
606,0,6.39E+17,6.39E+17,,,
607,0,6.39E+17,6.39E+17,,,
608,0,6.39E+17,6.39E+17,,,
609,0,6.39E+17,6.39E+17,,,
610,0,6.39E+17,6.39E+17,,,
611,0,6.39E+17,6.39E+17,,,
612,1.506,6.39E+17,6.39E+17,,,
613,0,6.39E+17,6.39E+17,,,
614,0,6.39E+17,6.39E+17,,,
615,0.546,6.39E+17,6.39E+17,,,
616,1.065,6.39E+17,6.39E+17,,,
617,0,6.39E+17,6.39E+17,,,
618,0,6.39E+17,6.39E+17,,,
619,2.428,6.39E+17,6.39E+17,,,
620,1.059,6.39E+17,6.39E+17,,,
621,1.449,6.39E+17,6.39E+17,,,
622,0,6.39E+17,6.39E+17,,,
623,0,6.39E+17,6.39E+17,,,
624,0,6.39E+17,6.39E+17,,,
625,0,6.39E+17,6.39E+17,,,
626,0,6.39E+17,6.39E+17,,,
627,0,6.39E+17,6.39E+17,,,
628,0,6.39E+17,6.39E+17,,,
629,1.069,6.39E+17,6.39E+17,,,
630,0,6.39E+17,6.39E+17,,,
631,0,6.39E+17,6.39E+17,,,
632,0,6.39E+17,6.39E+17,,,
