Id,SentTime,ReceivedTime,LatencyMs
1560,2025-08-07T11:54:39.1430192Z,2025-08-07T11:54:39.1430192Z,0.0000
1561,2025-08-07T11:54:39.1430192Z,2025-08-07T11:54:39.1430192Z,0.0000
1562,2025-08-07T11:54:39.1430192Z,2025-08-07T11:54:39.1445258Z,1.5066
1563,2025-08-07T11:54:39.1445258Z,2025-08-07T11:54:39.1445258Z,0.0000
1564,2025-08-07T11:54:39.1445258Z,2025-08-07T11:54:39.1445258Z,0.0000
1565,2025-08-07T11:54:39.1459318Z,2025-08-07T11:54:39.1459318Z,0.0000
1566,2025-08-07T11:54:39.1459318Z,2025-08-07T11:54:39.1459318Z,0.0000
1567,2025-08-07T11:54:39.1470704Z,2025-08-07T11:54:39.1470704Z,0.0000
1568,2025-08-07T11:54:39.1470704Z,2025-08-07T11:54:39.1480788Z,1.0084
1569,2025-08-07T11:54:39.1480788Z,2025-08-07T11:54:39.1480788Z,0.0000
1570,2025-08-07T11:54:39.1490784Z,2025-08-07T11:54:39.1490784Z,0.0000
1571,2025-08-07T11:54:39.1490784Z,2025-08-07T11:54:39.1490784Z,0.0000
1572,2025-08-07T11:54:39.1500771Z,2025-08-07T11:54:39.1500771Z,0.0000
1573,2025-08-07T11:54:39.1500771Z,2025-08-07T11:54:39.1500771Z,0.0000
1574,2025-08-07T11:54:39.1510774Z,2025-08-07T11:54:39.1510774Z,0.0000
1575,2025-08-07T11:54:39.1510774Z,2025-08-07T11:54:39.1520778Z,1.0004
1576,2025-08-07T11:54:39.1520778Z,2025-08-07T11:54:39.1520778Z,0.0000
1577,2025-08-07T11:54:39.1520778Z,2025-08-07T11:54:39.1530783Z,1.0005
1578,2025-08-07T11:54:39.1530783Z,2025-08-07T11:54:39.1530783Z,0.0000
1579,2025-08-07T11:54:39.1530783Z,2025-08-07T11:54:39.1530783Z,0.0000
1580,2025-08-07T11:54:39.1544929Z,2025-08-07T11:54:39.1544929Z,0.0000
1581,2025-08-07T11:54:39.1544929Z,2025-08-07T11:54:39.1544929Z,0.0000
1582,2025-08-07T11:54:39.1555011Z,2025-08-07T11:54:39.1555011Z,0.0000
1583,2025-08-07T11:54:39.1555011Z,2025-08-07T11:54:39.1555011Z,0.0000
1584,2025-08-07T11:54:39.1565228Z,2025-08-07T11:54:39.1565228Z,0.0000
1585,2025-08-07T11:54:39.1565228Z,2025-08-07T11:54:39.1565228Z,0.0000
1586,2025-08-07T11:54:39.1575294Z,2025-08-07T11:54:39.1575294Z,0.0000
1587,2025-08-07T11:54:39.1575294Z,2025-08-07T11:54:39.1575294Z,0.0000
1588,2025-08-07T11:54:39.1575294Z,2025-08-07T11:54:39.1590092Z,1.4798
1589,2025-08-07T11:54:39.1590092Z,2025-08-07T11:54:39.1590092Z,0.0000
1590,2025-08-07T11:54:39.1600789Z,2025-08-07T11:54:39.1600789Z,0.0000
1591,2025-08-07T11:54:39.1600789Z,2025-08-07T11:54:39.1600789Z,0.0000
1592,2025-08-07T11:54:39.1610886Z,2025-08-07T11:54:39.1610886Z,0.0000
1593,2025-08-07T11:54:39.1610886Z,2025-08-07T11:54:39.1610886Z,0.0000
1594,2025-08-07T11:54:39.1620860Z,2025-08-07T11:54:39.1620860Z,0.0000
1595,2025-08-07T11:54:39.1620860Z,2025-08-07T11:54:39.1620860Z,0.0000
1596,2025-08-07T11:54:39.1631256Z,2025-08-07T11:54:39.1631256Z,0.0000
1597,2025-08-07T11:54:39.1631256Z,2025-08-07T11:54:39.1631256Z,0.0000
1598,2025-08-07T11:54:39.1631256Z,2025-08-07T11:54:39.1631256Z,0.0000
1599,2025-08-07T11:54:39.1646342Z,2025-08-07T11:54:39.1646342Z,0.0000
1600,2025-08-07T11:54:39.1646342Z,2025-08-07T11:54:39.1646342Z,0.0000
1601,2025-08-07T11:54:39.1656660Z,2025-08-07T11:54:39.1656660Z,0.0000
1602,2025-08-07T11:54:39.1656660Z,2025-08-07T11:54:39.1656660Z,0.0000
1603,2025-08-07T11:54:39.1668710Z,2025-08-07T11:54:39.1668710Z,0.0000
1604,2025-08-07T11:54:39.1668710Z,2025-08-07T11:54:39.1668710Z,0.0000
1605,2025-08-07T11:54:39.1678926Z,2025-08-07T11:54:39.1678926Z,0.0000
1606,2025-08-07T11:54:39.1678926Z,2025-08-07T11:54:39.1678926Z,0.0000
1607,2025-08-07T11:54:39.1678926Z,2025-08-07T11:54:39.1678926Z,0.0000
1608,2025-08-07T11:54:39.1693793Z,2025-08-07T11:54:39.1693793Z,0.0000
1609,2025-08-07T11:54:39.1693793Z,2025-08-07T11:54:39.1693793Z,0.0000
1610,2025-08-07T11:54:39.1705112Z,2025-08-07T11:54:39.1705112Z,0.0000
1611,2025-08-07T11:54:39.1705112Z,2025-08-07T11:54:39.1705112Z,0.0000
1612,2025-08-07T11:54:39.1715779Z,2025-08-07T11:54:39.1715779Z,0.0000
1613,2025-08-07T11:54:39.1715779Z,2025-08-07T11:54:39.1715779Z,0.0000
1614,2025-08-07T11:54:39.1727337Z,2025-08-07T11:54:39.1727337Z,0.0000
1615,2025-08-07T11:54:39.1727337Z,2025-08-07T11:54:39.1727337Z,0.0000
1616,2025-08-07T11:54:39.1742605Z,2025-08-07T11:54:39.1742605Z,0.0000
